lat,long,live,name,call,frequency,band,limbaughAffiliate,limbaughLink,fasAffiliate,fasLink,market
31.368889,-109.529167,http://kvoi.streamon.fm:8000/KVOI-24k.aac?starttime=1501181302,KAPR/AM 930 AM ,KAPR/AM,930,AM, ,, ,,
43.432778,-124.208333,http://ice8.securenetsystems.net:80/KBBR,KBBR/AM 1340 AM ,KBBR/AM,1340,AM, ,, ,,
39.238333,-94.399722,http://crystalout.surfernetwork.com:8001/KCXL_MP3,KCXL/AM 1140 AM ,KCXL/AM,1140,AM, ,, ,,
32.034444,-110.945833,http://ice9.securenetsystems.net:80/KEVT,KEVT/AM 1210 AM ,KEVT/AM,1210,AM, ,, ,,
44.595278,-123.126111,http://ice10.securenetsystems.net:80/KFIR,KFIR/AM 720 AM ,KFIR/AM,720,AM, ,, ,,
44.573611,-122.918056,http://ice8.securenetsystems.net:80/KGAL,KGAL/AM 1580 AM ,KGAL/AM,1580,AM, ,, ,,
37.092778,-93.266389,http://ice7.securenetsystems.net:80/KADIAM,KICK/AM 1340 AM ,KICK/AM,1340,AM, ,, ,,
35.051111,-106.642778,http://uk1.internet-radio.com:15889/live,KIVA/AM 1600 AM ,KIVA/AM,1600,AM, ,, ,,
40.78,-95.356389,http://ice5.securenetsystems.net:80/KMAAM,KMA/AM 960 AM ,KMA/AM,960,AM, ,, ,,
40.801111,-94.901667,http://ice5.securenetsystems.net:80/KMAFM,KMA/FM 99.1 FM ,KMA/FM,99.1,FM, ,, ,,
61.12,-149.895278,http://ice10.securenetsystems.net:80/KOAN,KOAN/AM 1080 AM ,KOAN/AM,1080,AM, ,, ,,
32.824722,-104.399722,http://ice3.securenetsystems.net:80/KSVP,KSVP/AM 990 AM ,KSVP/AM,990,AM, ,, ,,
31.326467,-92.489494,http://ice5.securenetsystems.net:80/KSYL,KSYL/AM 970 AM ,KSYL/AM,970,AM, ,, ,,
44.868889,-93.419722,http://stream.am950ktnf.com:8000,KTNF/AM 950 AM ,KTNF/AM,950,AM, ,, ,,
38.6625,-90.128611,http://ice6.securenetsystems.net:80/KTRS,KTRS/AM 550 AM ,KTRS/AM,550,AM, ,, ,,
38.195,-91.186667,http://stream.fidnet.com:8000/,KTUI/AM 1560 AM ,KTUI/AM,1560,AM, ,, ,,
38.313889,-98.793056,http://ice10.securenetsystems.net:80/KVGBAM2,KVGB/AM 1590 AM ,KVGB/AM,1590,AM, ,, ,,
35.5825,-105.776111,http://216.31.10.3:8002/,KVSF/FM 101.5 FM ,KVSF/FM,101.5,FM, ,, ,,
36.115278,-97.756389,http://ice8.securenetsystems.net:80/KZLS,KZLS/AM 1640 AM ,KZLS/AM,1640,AM, ,, ,,
41.959167,-71.326944,http://174.37.159.206:8100/stream,WARA/AM 1320 AM ,WARA/AM,1320,AM, ,, ,,
35.791111,-78.619444,http://ice6.securenetsystems.net:80/WAUG,WAUG/AM 750 AM ,WAUG/AM,750,AM, ,, ,,
36.983889,-85.872222,http://173.193.205.96:8064/stream,WCLU/AM 1490 AM ,WCLU/AM,1490,AM, ,, ,,
39.226389,-76.088889,http://50.22.253.45:80/wctr-am,WCTR/AM 1530 AM ,WCTR/AM,1530,AM, ,, ,,
31.1375,-83.394722,http://199.195.194.140:8230/stream,WDDQ/FM 92.1 FM ,WDDQ/FM,92.1,FM, ,, ,,
39.513611,-86.068611,http://peace.str3am.com:6140/,WFDM/FM 95.9 FM ,WFDM/FM,95.9,FM, ,, ,,
33.171111,-86.2325,http://s5.voscast.com:8376/,WFEB/AM 1340 AM ,WFEB/AM,1340,AM, ,, ,,
42.589722,-73.743611,http://50.22.253.46:80/wgdj-am,WGDJ/AM 1300 AM ,WGDJ/AM,1300,AM, ,, ,,
44.263333,-83.545,http://ice3.securenetsystems.net:80/WIOSM,WIOS/AM 1480 AM ,WIOS/AM,1480,AM, ,, ,,
28.663056,-80.921389,http://1.ice1.firststreaming.com:8000/wixc_am.aac,WIXC/AM 1060 AM ,WIXC/AM,1060,AM, ,, ,,
30.521944,-82.951944,http://199.195.194.140:8236/stream,WJHC/FM 107.5 FM ,WJHC/FM,107.5,FM, ,, ,,
45.334722,-84.926111,http://ice6.securenetsystems.net:80/WJML,WJML/AM 1110 AM ,WJML/AM,1110,AM, ,, ,,
44.559444,-85.593611,http://ice6.securenetsystems.net:80/WJML,WJNL/AM 1210 AM ,WJNL/AM,1210,AM, ,, ,,
42.386111,-71.200278,http://ice64.securenetsystems.net:80/WMEX,WMEX/AM 1510 AM ,WMEX/AM,1510,AM, ,, ,,
