CensusId,State,County,Region,TotalPop,Men,Women,Hispanic,White,Black,Native,Asian,Pacific,Citizen,Income,IncomeErr,IncomePerCap,IncomePerCapErr,Poverty,ChildPoverty,Professional,Service,Office,Construction,Production,Drive,Carpool,Transit,Walk,OtherTransp,WorkAtHome,MeanCommute,Employed,PrivateWork,PublicWork,SelfEmployed,FamilyWork,Unemployment,FCC-STATE,FCC-COUNTY,percent_without_access,percent_total_population,population_density,per_capita_income,population_without_access_urban,percent_urban_population,population_density_urban,population_without_access_rural,percent_rural_population,population_density_rural
1001,Alabama,Autauga,Southeast,55221,26745,28476,2.6,75.8,18.5,0.4,1,0,40725,51281,2391,24974,1080,12.9,18.6,33.2,17,24.2,8.6,17.1,87.5,8.8,0.1,0.5,1.3,1.8,26.5,23986,73.6,20.9,5.5,0,7.6,Alabama',Autauga County,13199,0.22,99.21,24644,360,0.01,1768.821,12839,0.53,42.144
1003,Alabama,Baldwin,Southeast,195121,95314,99807,4.5,83.1,9.5,0.6,0.7,0,147695,50254,1263,27317,711,13.4,19.2,33.1,17.7,27.1,10.8,11.2,84.7,8.8,0.1,1,1.4,3.9,26.4,85953,81.5,12.3,5.8,0.4,7.5,Alabama',Baldwin County,55717,0.27,128.37,26851,22041,0.19,1117.57,33676,0.39,57.575
1005,Alabama,Barbour,Southeast,26932,14497,12435,4.6,46.2,46.7,0.2,0.4,0,20714,32964,2973,16824,798,26.7,45.3,26.8,16.1,23.1,10.8,23.1,83.8,10.9,0.4,1.8,1.5,1.6,24.1,8597,71.8,20.8,7.3,0.1,17.6,Alabama',Barbour County,13236,0.51,29.563,17350,608,0.07,1264.44,12628,0.72,20.09
1007,Alabama,Bibb,Southeast,22604,12073,10531,2.2,74.5,21.4,0.4,0.1,0,17495,38678,3995,18431,1618,16.8,27.9,21.5,17.9,17.8,19,23.7,83.2,13.5,0.5,0.6,1.5,0.7,28.8,8294,76.8,16.1,6.7,0.4,8.3,Alabama',Bibb County,22772,0.98,37.203,18110,7323,0.98,1022.802,15449,0.98,25.512
1009,Alabama,Blount,Southeast,57710,28512,29198,8.6,87.9,1.5,0.3,0.1,0,42345,45813,3141,20532,708,16.7,27.2,28.5,14.1,23.9,13.5,19.9,84.9,11.2,0.4,0.9,0.4,2.3,34.9,22189,82,13.5,4.2,0.4,7.7,Alabama',Blount County,27824,0.46,93.378,20501,681,0.11,1421.615,27143,0.5,84.672
1011,Alabama,Bullock,Southeast,10678,5660,5018,4.4,22.2,70.7,1.2,0.2,0,8057,31938,5884,17580,2055,24.6,38.4,18.8,15,19.7,20.1,26.4,74.9,14.9,0.7,5,1.7,2.8,27.5,3865,79.5,15.1,5.4,0,18,Alabama',Bullock County,10251,1,16.459,17706,5153,1,1052.896,5098,1,8.25
1013,Alabama,Butler,Southeast,20354,9502,10852,1.2,53.3,43.8,0.1,0.4,0,15581,32229,1793,18390,714,25.4,39.2,27.5,16.6,21.9,10.3,23.7,84.5,12.4,0,0.8,0.6,1.7,24.6,7813,77.4,16.2,6.2,0.2,10.9,Alabama',Butler County,10049,0.5,25.751,18115,455,0.08,1478.707,9594,0.68,18.126
1015,Alabama,Calhoun,Southeast,116648,56274,60374,3.5,73,20.3,0.2,0.9,0,88612,41703,925,21374,489,20.5,31.6,27.3,17.7,24.2,10.5,20.4,85.3,9.4,0.2,1.2,1.2,2.7,24.1,47401,74.1,20.8,5,0.1,12.3,Alabama',Calhoun County,10501,0.09,197.608,21306,2119,0.03,971.596,8382,0.2,77.928
1017,Alabama,Chambers,Southeast,34079,16258,17821,0.4,57.3,40.3,0.2,0.8,0,26462,34177,2949,21071,1366,21.6,37.2,23.3,14.5,26.3,11.5,24.4,85.1,11.9,0.2,0.3,0.4,2.1,25.1,13689,85.1,12.1,2.8,0,8.9,Alabama',Chambers County,5422,0.17,52.906,21240,.,.,765.925,5422,0.35,26.69
1019,Alabama,Cherokee,Southeast,26008,12975,13033,1.5,91.7,4.8,0.6,0.3,0,20600,36296,1710,21811,1556,19.2,30.1,29.3,16,19.5,13.7,21.5,83.9,12.1,0.2,0.6,0.7,2.5,27.4,10155,73.1,18.5,7.9,0.5,7.9,Alabama',Cherokee County,15190,0.6,45.906,22234,261,0.07,360.954,14929,0.69,39.993
1021,Alabama,Chilton,Southeast,43819,21619,22200,7.6,80.5,10.2,0.4,0.3,0,31728,41627,2025,21399,1446,19.1,30.6,27.2,14.3,23.7,15.3,19.5,81.2,14.2,0.2,1.1,1.4,1.9,32,17895,80.3,15.2,4.1,0.5,9.1,Alabama',Chilton County,33632,0.75,64.586,21718,2315,0.4,858.937,31317,0.8,56.853
1023,Alabama,Choctaw,Southeast,13395,6382,7013,0.4,55.9,42.9,0,0,0,10568,33536,2231,20755,1380,23.4,34.4,24.9,15.4,19.6,18.3,21.8,85.5,10.3,0.1,1.9,1.4,0.8,30.7,4405,77.5,16.8,5.4,0.3,13.6,Alabama',Choctaw County,10526,0.85,13.603,21268,.,.,.,10526,0.85,13.603
1025,Alabama,Clarke,Southeast,25070,11834,13236,0.3,53.4,45.3,0,0.4,0.4,19258,32011,3088,20064,1469,24.7,29.8,21.1,15,25.5,11.6,26.9,82,12.8,0.2,1.3,2.6,1.1,23,8161,83.1,13.6,3.3,0,19.4,Alabama',Clarke County,11545,0.48,19.376,20022,350,0.06,808.214,11195,0.61,14.856
1027,Alabama,Clay,Southeast,13537,6671,6866,3.2,79.9,14.4,0.7,0,0,10312,35327,4517,18905,1067,16.7,22.5,21.5,13.3,20.8,15.3,29.1,84.3,10.4,0.6,1.8,0.9,2.1,30.3,5180,77.5,14.7,7.8,0,9.4,Alabama',Clay County,8122,0.63,21.294,18957,.,.,.,8122,0.63,21.294
1029,Alabama,Cleburne,Southeast,15002,7334,7668,2.3,92.5,2.9,0.2,0.4,0,11367,38056,3883,20151,1357,17,26.3,28.9,11.7,23.1,15.6,20.7,77.6,17.7,0.1,0.2,1,3.4,33.3,6065,76.3,15.3,8.4,0,8.3,Alabama',Cleburne County,14974,1,26.763,19736,.,.,.,14974,1,26.763
1031,Alabama,Coffee,Southeast,50884,25174,25710,6.4,71.5,17.2,0.8,1.2,0,37575,46729,2066,24936,854,17.1,26.4,32.2,18.6,22.7,12.1,14.5,85.3,9.6,0.1,1,1.3,2.8,20.9,20912,70.3,23.5,5.7,0.5,7.1,Alabama',Coffee County,6847,0.13,78.121,24204,.,.,1327.851,6847,0.28,37.256
1033,Alabama,Colbert,Southeast,54444,26303,28141,2.4,78.9,15.6,0.6,0.3,0.1,42075,40576,2536,22546,917,17.4,26.1,27.3,15.5,25.7,10.7,20.7,90.7,6,0.2,0.9,0.7,1.5,22.8,21290,78.6,16.1,5.2,0,9,Alabama',Colbert County,12106,0.23,89.113,21763,669,0.02,1109.807,11437,0.49,41.336
1035,Alabama,Conecuh,Southeast,12865,6176,6689,1.6,51,44.7,0.3,0,0,9930,24900,3001,15968,1369,33.8,41.5,19.4,21,20.4,11.4,27.9,93.6,4.3,0,0.6,0.3,1.3,29.7,3718,77.8,13,8.3,0.8,22.6,Alabama',Conecuh County,8158,0.68,14.169,15441,51,0.02,1106.995,8107,0.84,11.383
1037,Alabama,Coosa,Southeast,11027,5579,5448,2.1,65.2,30.7,0.1,0,0,8803,31212,2971,17519,961,19.3,27.5,18,19.8,21.9,12.7,27.6,85.4,10.1,0.5,0.9,1,2.1,28.6,3852,76.6,17.5,5.9,0,17,Alabama',Coosa County,2218,0.21,16.286,17749,.,.,.,2218,0.21,16.286
1039,Alabama,Covington,Southeast,37886,18339,19547,1.5,83.3,13,0.5,0.3,0.1,29358,36444,1673,20977,723,20.2,31.2,26.2,15.6,23.6,15.2,19.4,83,11.2,0.2,1.5,1.9,2.2,25.5,14202,77.1,15.8,6.7,0.4,11.2,Alabama',Covington County,35855,0.98,35.669,20941,10913,0.99,1097.202,24942,0.97,25.244
1041,Alabama,Crenshaw,Southeast,13938,6863,7075,1.7,70.5,23.5,0.8,1.8,0,10591,36022,3041,20585,1229,16.7,19.2,27.6,11.6,23.8,12.5,24.6,81.7,11.6,0,1.3,0.8,4.6,27.9,5620,74.1,17.8,7.9,0.3,9.7,Alabama',Crenshaw County,5671,0.43,21.538,20366,.,.,.,5671,0.43,21.538
1043,Alabama,Cullman,Southeast,80965,40081,40884,4.3,92.2,1.1,0.4,0.6,0,61222,38971,1526,20881,727,18.5,25,28.5,15.6,23.9,13.9,18.1,84.9,10,0.1,1.5,1,2.6,26.4,32282,81.6,12.2,5.8,0.4,7.3,Alabama',Cullman County,22542,0.27,112.541,21105,.,.,885.587,22542,0.37,85.576
1045,Alabama,Dale,Southeast,49866,24708,25158,6,69.8,19.4,0.5,1.2,0,37331,45028,2413,22566,911,19.1,26.2,27.1,17.2,24.8,14.8,16.2,87.4,6.6,0.1,1.6,1.7,2.6,20.4,18735,73.1,20.9,5.9,0.1,10.9,Alabama',Dale County,4429,0.09,88.413,22368,241,0.01,821.858,4188,0.17,47.152
1047,Alabama,Dallas,Southeast,42154,19450,22704,0.3,28.6,69.2,0.2,0.3,0,31231,27306,2075,17808,788,35,53.8,26.5,19.5,19.3,10.1,24.5,82.3,11.4,0.3,2.2,1.6,2.2,23.9,14094,76.6,16.7,6.2,0.4,16.4,Alabama',Dallas County,7046,0.17,43.31,17614,.,.,1407.963,7046,0.38,19.364
1049,Alabama,DeKalb,Southeast,71068,35474,35594,14,80.9,1.8,1.1,0.3,0.1,49341,38192,1360,18411,588,18.7,25.2,24.2,15.7,21.3,12.4,26.4,86.1,10.4,0,0.6,0.9,2.1,22.8,27778,78.8,12.6,8.5,0.1,7.7,Alabama',DeKalb County,11313,0.16,91.719,18416,.,.,1639.441,11313,0.18,83.055
1051,Alabama,Elmore,Southeast,80763,39362,41401,2.8,73.6,21,0.2,0.5,0,61172,53555,1980,24381,941,13.6,20.5,33.3,16,25.2,9.6,15.9,87.1,9,0.1,0.4,1.2,2.2,28.5,33636,70.4,24.1,5.5,0,8.3,Alabama',Elmore County,10634,0.12,137.775,24185,2657,0.07,1185.357,7977,0.18,77.791
1053,Alabama,Escambia,Southeast,37935,19524,18411,1.2,60.7,33.4,3.2,0.1,0,29399,32330,2209,17045,848,24.2,31.8,25.4,21.8,23.1,11,18.7,90.8,6,0.4,1.2,0.5,1.1,23.1,12294,74.5,19,6.4,0.1,15.6,Alabama',Escambia County,14317,0.39,38.51,16673,416,0.03,1182.737,13901,0.6,24.732
1055,Alabama,Etowah,Southeast,103766,50207,53559,3.6,78.5,15.4,0.3,0.7,0.1,78881,39220,1976,20500,518,19.7,31.7,28.7,18.5,21.3,9.8,21.7,86.2,8.7,0.3,0.4,0.5,3.8,23.4,41236,79.8,14.4,5.6,0.2,9,Alabama',Etowah County,7996,0.08,193.16,20445,843,0.01,867.353,7153,0.18,84.937
1057,Alabama,Fayette,Southeast,16896,8477,8419,0.7,85.3,12,0,0.4,0,13188,34680,2112,19545,1183,18.3,25.6,27,14.6,21.6,12.7,24.1,86.5,11.1,0,0.3,0.2,1.9,28.4,6122,81.9,14.2,3.8,0.1,10,Alabama',Fayette County,15808,1,25.186,19040,3201,1,1136.081,12607,1,20.176
1059,Alabama,Franklin,Southeast,31634,15311,16323,15.7,78.5,4.1,0.7,0.1,0.1,22124,35372,2437,18595,975,22.5,38.8,21.4,13.6,19.4,12.8,32.8,80.3,13.2,0.2,0.2,4.7,1.4,29,12249,78.5,14.6,6.9,0,9.8,Alabama',Franklin County,10258,0.33,49.511,18559,.,.,1416.452,10258,0.48,34.377
1061,Alabama,Geneva,Southeast,26815,13174,13641,3.6,84,8.7,0.3,1.2,0,20334,36024,2022,20224,1298,23.2,40.2,23.9,17.8,22.5,19.9,16,81.8,12,0,0.9,1.8,3.4,25.8,10419,75.7,15,8.8,0.4,11.2,Alabama',Geneva County,14308,0.57,44.051,20027,329,0.13,1081.978,13979,0.62,39.678
1063,Alabama,Greene,Southeast,8697,4095,4602,0.7,17.8,80.6,0.1,0.2,0,6669,20541,2413,13611,1741,40.2,67,20.1,22.3,26,9.5,22.1,82.1,9.3,0.8,3.4,2.1,2.3,30.5,2412,75.8,17.2,7,0,20.4,Alabama',Greene County,8036,0.99,12.491,13956,.,.,.,8036,0.99,12.491
1065,Alabama,Hale,Southeast,15256,7183,8073,1.1,40,58.2,0.3,0.3,0.1,11612,32714,2373,18877,1217,26.8,38.9,25.5,16.7,24.4,12.2,21.3,88.2,8.8,0,0.3,1.5,1.2,29.8,5282,76.3,17.6,5.8,0.3,13.3,Alabama',Hale County,6047,0.41,22.74,18774,.,.,731.942,6047,0.46,20.336
1067,Alabama,Henry,Southeast,17252,8259,8993,2.5,68.3,28.4,0,0,0,13357,41997,3220,22931,1429,15.6,20.6,33.5,17.1,18.5,10.9,20,85.6,8.6,0.1,1,2.6,2.2,26.9,6922,78.9,15.5,5.4,0.2,8.1,Alabama',Henry County,8427,0.51,29.449,22682,55,0.03,1290.76,8372,0.58,25.768
1069,Alabama,Houston,Southeast,103534,49563,53971,3.2,67.7,26.2,0.3,0.8,0,77666,41571,863,23925,460,18.3,29.9,31.1,18.5,26.1,10.3,14.1,88.6,7,0.3,0.7,1.3,2.1,21.4,44067,81.3,13,5.5,0.2,8.3,Alabama',Houston County,15193,0.14,187.307,23492,391,0.01,1345.939,14802,0.41,69.176
1071,Alabama,Jackson,Southeast,52860,26076,26784,2.7,89.4,3.1,1.1,0.4,0.1,40758,37745,1399,20066,779,18,25.9,25.3,14.1,21.1,13,26.6,88.1,7.4,0.1,1.3,0.7,2.4,25.4,20883,75.1,17.1,7.7,0,10.1,Alabama',Jackson County,6407,0.13,46.828,20055,.,.,901.651,6407,0.17,36.349
1073,Alabama,Jefferson,Southeast,659026,311581,347445,3.8,51,42.2,0.2,1.6,0,490208,45610,910,27240,404,18.8,27.8,38.7,17,25.2,7.4,11.6,84.9,9.3,0.9,1.3,1,2.5,23.6,293202,80.9,14.4,4.6,0.2,9.1,Alabama',Jefferson County,41205,0.06,585.627,26896,28952,0.05,1460.787,12253,0.19,90.564
